item.copper_pickaxe 銅鎬
item.copper_sword 銅劍
item.copper_axe 銅斧
item.copper_ingot 銅錠
item.iron_ingot 鐵錠
item.health_potion 生命藥水
item.empty 空
item.stone 石頭
item.unknown 未知
item.dirt 泥土
item.grass 草地
item.planks 木板
item.water 舊版水
item.water.desc 已棄用方塊（供存檔相容）
item.sand 沙
item.lamp_white 白色燈
item.lamp_blue 藍色燈
item.lava 舊版熔岩
item.lava.desc 已棄用方塊（供存檔相容）
item.log 橡木原木
item.leaves 樹葉
item.grass_tall 高草
item.workbench 工作台
item.workbench.desc 可製作較複雜的物品
item.worldBorder 世界邊界
item.worldBorder.desc 如果你拿得到這個，不是你作弊，就是我的遊戲壞掉了 ):
item.copper_ore 銅礦石
item.copper_ore.desc 可熔煉成錠
item.iron_ore 鐵礦石
item.iron_ore.desc 可熔煉成錠
item.coal_ore 煤礦石
item.furnace 熔爐
item.glowing_mushroom 發光蘑菇
item.torch 火把
item.crate 木箱
item.stone_brick 石磚
item.glass 玻璃
item.stone_brick_small 小型石磚
item.clay 黏土
item.clay_brick_small 黏土磚
item.copper_plated_stone 銅包石
item.iron_plated_stone 鐵包石
item.flint_pickaxe 燧石鎬
item.flint_sword 燧石劍
item.flint_axe 燧石斧
item.core 核心
item.flint 燧石
item.iron_pickaxe 鐵鎬
item.iron_sword 鐵劍
item.iron_axe 鐵斧
item.red_mushroom 紅蘑菇
item.allumerium_ore Allumerium 礦石
item.chest 寶箱
item.silver_pickaxe 銀鎬
item.silver_sword 銀劍
item.silver_axe 銀斧
item.gold_pickaxe 金鎬
item.gold_sword 金劍
item.gold_axe 金斧
item.silver_ingot 銀錠
item.gold_ingot 金錠
item.sandstone 砂岩
item.snow 雪
item.ice 冰
item.silver_ore 銀礦石
item.gold_ore 金礦石
item.silver_plated_stone 銀包石
item.gold_plated_stone 金包石
item.sandstone_brick 砂岩磚
item.snow_brick 雪磚
item.stone_block 石塊
item.lamp_red 紅色燈
item.lamp_green 綠色燈
item.flint_hammer 錘子
item.flint_hammer.desc 可改變方塊形狀
item.bagel 貝果
item.everything_bagel 全料貝果
item.everything_bagel.desc 什麼都有的那種。
item.nothing_bagel 什麼都不加的貝果
item.nothing_bagel.desc 給我一個什麼都別加的貝果。
item.blueberry 藍莓
item.birch_log 樺木原木
item.maple_log 楓木原木
item.maple_leaves 楓葉
item.blueberry_bush 藍莓叢
item.door 門

item.copper_helmet 銅頭盔
item.iron_helmet 鐵頭盔
item.silver_helmet 銀頭盔
item.gold_helmet 金頭盔

item.copper_chestplate 銅胸甲
item.iron_chestplate 鐵胸甲
item.silver_chestplate 銀胸甲
item.gold_chestplate 金胸甲
item.copper_greaves 銅護腿
item.iron_greaves 鐵護腿
item.silver_greaves 銀護腿
item.gold_greaves 金護腿
item.dynamite 炸藥
item.dynamite.desc 很適合拿來玩接球
item.daffodil 水仙花
item.rose 玫瑰
item.dandelion 蒲公英
item.cobblestone 鵝卵石
item.potion_station 藥水台
item.cooking_station 烹飪台
item.ladder 梯子
item.dynamite_block 炸藥方塊
item.dynamite_block.desc 想爆炸嗎！？
item.cactus_sword 仙人掌劍
item.wood_bow 木弓
item.slingshot 彈弓
item.arrow 箭矢
item.rock 石塊
item.shuriken 手裏劍
item.dart 飛鏢
item.wand 魔杖
item.wand.desc 用於替指令選取兩個點。
item.frozen_stone 凍結石
item.grass_tall_snowy 雪覆高草
item.grass_tall_dry 乾枯高草
item.dead_bush 枯灌木
item.desert_bush 沙漠灌木
item.agave 龍舌蘭
item.cactus_flower 仙人掌花
item.cactus_small 小仙人掌
item.cactus 仙人掌
item.maple_sapling 楓樹苗
item.oak_sapling 橡樹苗
item.birch_sapling 樺樹苗
item.frost_algae 霜藻
item.slime_algae 史萊姆藻
item.pine_leaves 松葉
item.forest_pickaxe 森林鎬
item.forest_pickaxe.desc 永遠要筆直往下挖 :)
